row.names.t.stat.desc.C...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
I07,8961,8696,0,0,12,12,2008,0,0.224082133690436,0.0156782577043237,0.0307329720054344,2.20268337896759,1.48414398862361,6.6232142838925
I08,8961,8708,0,0,12,12,2038,0,0.227429974333222,0.0160807964729561,0.0315220400856249,2.31724304824876,1.52224933839656,6.69326610469655
I09,8961,8697,0,0,12,12,1938,0,0.216270505523937,0.0153226340663405,0.0300358683146593,2.10389149110431,1.45047974515479,6.70678482782873
I10,8961,8712,0,0,12,12,1851,0,0.206561767659859,0.0150568843797847,0.0295149381302345,2.03154622411402,1.42532319987925,6.90022754949646
I11,8961,8734,0,0,12,12,1713,0,0.191161700703047,0.0146080184262204,0.0286350581687461,1.91222544717586,1.38283240024808,7.23383604122768
I12,8961,8764,0,0,12,12,1635,0,0.182457315031805,0.0144223112400424,0.0282710295973544,1.86391543414319,1.36525288285475,7.48258781850848
I13,8961,8767,0,0,12,12,1595,0,0.177993527508091,0.0142469836541023,0.0279273474170959,1.81887280397596,1.34865592497715,7.57699419668978
I14,8961,8774,0,0,12,12,1636,0,0.182568909719897,0.0145729248079095,0.0285662666480646,1.90304880175204,1.37951034854837,7.55610772209164
I15,8961,8776,0,0,12,12,1578,0,0.176096417810512,0.0143102315597323,0.0280513277821203,1.835058019274,1.35464313354994,7.6926217488853
I16,8961,8798,0,0,12,12,1426,0,0.1591340252204,0.0136541678384721,0.0267652927928045,1.67065567857541,1.29253846309323,8.12232620461322
I17,8961,8819,0,0,12,12,1233,0,0.13759625041848,0.0127446798085505,0.0249824881795629,1.4555071231288,1.20644399916813,8.76800054869881
I18,8961,8838,0,0,12,12,992,0,0.110701930588104,0.0109404100762673,0.021445706719642,1.07256514339917,1.03564720991232,9.35527686292773
I19,8961,8881,0,0,12,12,572,0,0.0638321615891084,0.00822483451878791,0.0161225573518625,0.60619285754141,0.778583879579721,12.1973603932061
I20,8961,8894,0,0,9,9,309,0,0.0344827586206897,0.00459376375795086,0.00900482793657288,0.189100985221675,0.434857430914633,12.6108654965244
I21,8961,8913,0,0,12,12,375,0,0.0418480080348175,0.00676020367869321,0.0132515458239354,0.409520870199436,0.639938176857293,15.2919626741819
NHIN_97,7831,6721,1130,0,1,1,1110,0,0.141744349380667,0.0039416706365855,0.00772672688418452,0.121668425566725,0.348810013570031,2.4608389335738
NHIN_02,7824,5581,1137,0,1,1,2243,0,0.28668200408998,0.00511275687230956,0.0100223699758063,0.204521572903768,0.452240613947673,1.5774991366592
NHIN_03,7704,5162,1257,0,1,1,2542,0,0.329958463136033,0.00535735653865765,0.0105018760129925,0.221114577010023,0.470228218006983,1.42511337196137
NHIN_04,7453,4975,1508,0,1,1,2478,0,0.332483563665638,0.0054573228780125,0.0106978938556202,0.221968025930831,0.471134827762532,1.41701689722121
NHIN_05,7294,4847,1667,0,1,1,2447,0,0.335481217438991,0.00552884772464377,0.0108381411365062,0.222964138341806,0.472190785956064,1.40750289855477
NHIN_06,7530,5047,1431,0,1,1,2483,0,0.329747675962815,0.00541802977483327,0.0106208506328696,0.221043501206578,0.4701526360732,1.42579514685106
NHIN_07,7386,4997,1575,0,1,1,2389,0,0.323449769834823,0.00544349961396223,0.0106708120812739,0.21885964791667,0.467824377215072,1.44635866475953
NHIN_08,7457,4962,1504,0,1,1,2495,0,0.334584953734746,0.00546445132977165,0.0107118667004335,0.222667722697399,0.47187680881497,1.41033481496322
NHIN_09,7534,4981,1427,0,1,1,2553,0,0.338863817361295,0.00545348444439349,0.0106903507685691,0.224064871137211,0.473354910333897,1.39688832528616
NHIN_10,7440,4951,1521,0,1,1,2489,0,0.334543010752688,0.00547052108875868,0.0107237691198376,0.222653911310197,0.471862174061661,1.41046788871786
NHIN_11,7388,4968,1573,0,1,1,2420,0,0.327558202490525,0.00546056448683818,0.0107042636250503,0.220293644236216,0.469354497407041,1.43288885406745
NHIN_13,7102,5143,1859,0,1,1,1959,0,0.275837792171219,0.005303774560203,0.010396979278998,0.199779434605912,0.446966927865935,1.6203977139887
NHIN_15,7061,5521,1900,0,1,1,1540,0,0.218099419345702,0.00491474140638248,0.00963436785872494,0.170556217309861,0.412984524298261,1.89356086108443
NHIN_17,6692,5393,2269,0,1,1,1299,0,0.194112372982666,0.00483524337383222,0.00947861749312455,0.156456139216188,0.395545369352478,2.03771332694903
NHIN_19,6912,5533,2049,0,1,1,1379,0,0.199508101851852,0.00480715684480881,0.00942350467358913,0.159727727904254,0.399659514967745,2.00322448691592
NHIN_21,6676,5493,2285,0,1,1,1183,0,0.177201917315758,0.00467363948542856,0.00916182635909927,0.145823240721417,0.381868093353473,2.15498849638866
